,T.oceanica,Tetraselmis sp.,H.niei ,Synechococcus sp.,D.brightwelli,N.oculata
,,,,,,
,CS-67,CS-87,CS-89,CS-94,CS-131,CS-189
,Bacillariophyceae ,Prasinophyceae,Dinophyceae ,Cyanophyceae,Bacillariophyceae ,Eustigmataceae
,2.67,4.01,5.47,6.27,4.04,6.46
Wavelength (nm),,,,,,
,,,,,,
731.0,0.0004,0.0000,0.0004,0.0007,0.0010,0.0009
730.2,0.0003,0.0000,0.0004,0.0008,0.0010,0.0014
729.3,0.0004,-0.0000,0.0005,0.0011,0.0011,0.0014
728.5,0.0009,0.0001,0.0007,0.0012,0.0011,0.0016
727.6,0.0009,-0.0000,0.0001,0.0017,0.0011,0.0017
726.8,0.0010,0.0001,0.0001,0.0021,0.0010,0.0019
725.9,0.0012,-0.0002,0.0004,0.0022,0.0010,0.0023
725.1,0.0013,0.0000,0.0001,0.0022,0.0010,0.0023
724.2,0.0012,0.0001,0.0000,0.0025,0.0009,0.0023
723.4,0.0012,0.0004,-0.0001,0.0029,0.0010,0.0024
722.5,0.0011,0.0005,-0.0002,0.0032,0.0010,0.0025
721.7,0.0011,0.0006,0.0001,0.0034,0.0012,0.0026
720.8,0.0010,0.0003,0.0004,0.0040,0.0013,0.0028
719.9,0.0011,0.0008,0.0002,0.0046,0.0015,0.0030
719.1,0.0013,0.0006,0.0003,0.0052,0.0016,0.0033
718.2,0.0013,0.0005,0.0007,0.0058,0.0018,0.0036
717.4,0.0011,0.0005,0.0006,0.0064,0.0017,0.0040
716.5,0.0010,0.0005,0.0007,0.0070,0.0018,0.0044
715.7,0.0011,0.0006,0.0007,0.0078,0.0018,0.0048
714.8,0.0016,0.0007,0.0007,0.0088,0.0018,0.0051
714.0,0.0015,0.0008,0.0011,0.0096,0.0017,0.0054
713.1,0.0015,0.0012,0.0014,0.0105,0.0018,0.0061
712.3,0.0017,0.0013,0.0011,0.0117,0.0019,0.0066
711.4,0.0019,0.0014,0.0017,0.0131,0.0019,0.0073
710.6,0.0020,0.0013,0.0016,0.0146,0.0021,0.0079
709.7,0.0025,0.0014,0.0015,0.0158,0.0025,0.0087
708.9,0.0021,0.0017,0.0016,0.0170,0.0026,0.0099
708.0,0.0024,0.0016,0.0017,0.0190,0.0028,0.0111
707.1,0.0025,0.0014,0.0015,0.0208,0.0030,0.0122
706.3,0.0027,0.0017,0.0018,0.0228,0.0034,0.0135
705.4,0.0028,0.0019,0.0018,0.0246,0.0038,0.0152
704.6,0.0030,0.0024,0.0024,0.0270,0.0042,0.0171
703.7,0.0028,0.0030,0.0026,0.0295,0.0046,0.0192
702.9,0.0030,0.0035,0.0028,0.0320,0.0052,0.0214
702.0,0.0027,0.0043,0.0029,0.0345,0.0059,0.0239
701.2,0.0031,0.0053,0.0035,0.0378,0.0065,0.0267
700.3,0.0035,0.0060,0.0041,0.0410,0.0072,0.0301
699.5,0.0039,0.0069,0.0046,0.0445,0.0078,0.0337
698.6,0.0042,0.0080,0.0051,0.0480,0.0084,0.0375
697.8,0.0046,0.0087,0.0061,0.0524,0.0092,0.0419
696.9,0.0051,0.0097,0.0068,0.0572,0.0100,0.0469
696.1,0.0059,0.0109,0.0078,0.0626,0.0109,0.0527
695.2,0.0063,0.0124,0.0088,0.0683,0.0117,0.0587
694.3,0.0067,0.0141,0.0098,0.0750,0.0127,0.0651
693.5,0.0074,0.0159,0.0111,0.0824,0.0139,0.0723
692.6,0.0080,0.0178,0.0128,0.0901,0.0152,0.0805
691.8,0.0090,0.0199,0.0148,0.0984,0.0163,0.0894
690.9,0.0097,0.0222,0.0173,0.1073,0.0179,0.0988
690.1,0.0105,0.0247,0.0197,0.1165,0.0194,0.1087
689.2,0.0116,0.0270,0.0227,0.1259,0.0211,0.1194
688.4,0.0129,0.0293,0.0257,0.1350,0.0227,0.1307
687.5,0.0142,0.0320,0.0292,0.1447,0.0243,0.1416
686.7,0.0153,0.0345,0.0327,0.1545,0.0259,0.1528
685.8,0.0164,0.0369,0.0364,0.1638,0.0274,0.1634
685.0,0.0173,0.0395,0.0405,0.1721,0.0287,0.1733
684.1,0.0188,0.0416,0.0446,0.1797,0.0297,0.1822
683.3,0.0201,0.0434,0.0487,0.1865,0.0309,0.1904
682.4,0.0209,0.0450,0.0532,0.1927,0.0322,0.1974
681.5,0.0220,0.0462,0.0571,0.1972,0.0331,0.2034
680.7,0.0233,0.0474,0.0614,0.2002,0.0341,0.2076
679.8,0.0243,0.0479,0.0651,0.2025,0.0349,0.2110
679.0,0.0254,0.0485,0.0683,0.2043,0.0357,0.2136
678.1,0.0262,0.0488,0.0714,0.2052,0.0364,0.2150
677.3,0.0268,0.0492,0.0742,0.2057,0.0369,0.2150
676.4,0.0277,0.0492,0.0763,0.2050,0.0371,0.2147
675.6,0.0278,0.0493,0.0782,0.2043,0.0376,0.2137
674.7,0.0278,0.0491,0.0794,0.2039,0.0377,0.2120
673.9,0.0279,0.0493,0.0801,0.2023,0.0378,0.2096
673.0,0.0280,0.0492,0.0798,0.2006,0.0376,0.2060
672.2,0.0280,0.0487,0.0791,0.1986,0.0378,0.2018
671.3,0.0277,0.0483,0.0779,0.1960,0.0376,0.1981
670.5,0.0271,0.0480,0.0760,0.1933,0.0373,0.1934
669.6,0.0268,0.0475,0.0737,0.1900,0.0367,0.1881
668.7,0.0265,0.0470,0.0709,0.1859,0.0363,0.1826
667.9,0.0261,0.0466,0.0680,0.1822,0.0358,0.1767
667.0,0.0256,0.0457,0.0653,0.1777,0.0350,0.1710
666.2,0.0245,0.0453,0.0624,0.1730,0.0342,0.1652
665.3,0.0238,0.0442,0.0592,0.1684,0.0334,0.1589
664.5,0.0232,0.0436,0.0560,0.1637,0.0327,0.1526
663.6,0.0226,0.0427,0.0527,0.1590,0.0318,0.1465
662.8,0.0218,0.0419,0.0497,0.1547,0.0305,0.1402
661.9,0.0208,0.0409,0.0471,0.1506,0.0295,0.1342
661.1,0.0199,0.0400,0.0442,0.1469,0.0283,0.1281
660.2,0.0195,0.0391,0.0418,0.1436,0.0272,0.1222
659.4,0.0188,0.0388,0.0399,0.1406,0.0262,0.1162
658.5,0.0179,0.0380,0.0381,0.1382,0.0251,0.1103
657.7,0.0170,0.0374,0.0369,0.1363,0.0241,0.1047
656.8,0.0162,0.0372,0.0355,0.1349,0.0234,0.0997
655.9,0.0153,0.0368,0.0343,0.1335,0.0225,0.0945
655.1,0.0147,0.0368,0.0334,0.1329,0.0220,0.0897
654.2,0.0140,0.0367,0.0325,0.1324,0.0212,0.0855
653.4,0.0135,0.0365,0.0317,0.1323,0.0206,0.0815
652.5,0.0130,0.0367,0.0311,0.1325,0.0199,0.0779
651.7,0.0126,0.0366,0.0306,0.1330,0.0195,0.0748
650.8,0.0122,0.0363,0.0305,0.1335,0.0193,0.0718
650.0,0.0119,0.0363,0.0301,0.1349,0.0190,0.0697
649.1,0.0118,0.0358,0.0297,0.1362,0.0187,0.0675
648.3,0.0114,0.0355,0.0298,0.1379,0.0185,0.0659
647.4,0.0111,0.0349,0.0294,0.1396,0.0185,0.0646
646.6,0.0110,0.0342,0.0293,0.1413,0.0185,0.0638
645.7,0.0110,0.0335,0.0292,0.1435,0.0185,0.0632
644.9,0.0110,0.0326,0.0287,0.1458,0.0184,0.0628
644.0,0.0111,0.0316,0.0285,0.1476,0.0185,0.0623
643.1,0.0112,0.0309,0.0284,0.1499,0.0186,0.0625
642.3,0.0114,0.0300,0.0280,0.1522,0.0187,0.0625
641.4,0.0117,0.0292,0.0279,0.1550,0.0189,0.0629
640.6,0.0118,0.0281,0.0279,0.1577,0.0191,0.0634
639.7,0.0118,0.0272,0.0277,0.1608,0.0192,0.0638
638.9,0.0120,0.0265,0.0280,0.1640,0.0193,0.0646
638.0,0.0119,0.0254,0.0281,0.1674,0.0192,0.0656
637.2,0.0119,0.0245,0.0283,0.1704,0.0193,0.0666
636.3,0.0119,0.0238,0.0284,0.1737,0.0194,0.0676
635.5,0.0118,0.0235,0.0286,0.1765,0.0193,0.0685
634.6,0.0119,0.0229,0.0286,0.1795,0.0192,0.0694
633.8,0.0121,0.0226,0.0286,0.1818,0.0192,0.0704
632.9,0.0121,0.0223,0.0282,0.1839,0.0192,0.0710
632.1,0.0122,0.0223,0.0278,0.1860,0.0190,0.0717
631.2,0.0122,0.0220,0.0275,0.1881,0.0187,0.0721
630.3,0.0120,0.0217,0.0273,0.1898,0.0186,0.0728
629.5,0.0120,0.0214,0.0271,0.1915,0.0184,0.0733
628.6,0.0121,0.0212,0.0268,0.1932,0.0183,0.0733
627.8,0.0117,0.0212,0.0266,0.1946,0.0181,0.0736
626.9,0.0118,0.0211,0.0264,0.1958,0.0179,0.0737
626.1,0.0116,0.0211,0.0265,0.1964,0.0179,0.0737
625.2,0.0115,0.0211,0.0263,0.1969,0.0180,0.0737
624.4,0.0118,0.0212,0.0263,0.1971,0.0179,0.0735
623.5,0.0117,0.0211,0.0261,0.1971,0.0178,0.0733
622.7,0.0115,0.0210,0.0259,0.1967,0.0175,0.0731
621.8,0.0116,0.0208,0.0258,0.1961,0.0175,0.0728
621.0,0.0112,0.0207,0.0257,0.1955,0.0174,0.0725
620.1,0.0112,0.0206,0.0254,0.1945,0.0172,0.0718
619.3,0.0111,0.0202,0.0250,0.1934,0.0169,0.0712
618.4,0.0108,0.0200,0.0245,0.1922,0.0167,0.0703
617.5,0.0107,0.0199,0.0241,0.1908,0.0167,0.0693
616.7,0.0106,0.0198,0.0240,0.1892,0.0167,0.0683
615.8,0.0105,0.0196,0.0236,0.1874,0.0163,0.0672
615.0,0.0106,0.0194,0.0233,0.1853,0.0161,0.0661
614.1,0.0105,0.0191,0.0230,0.1833,0.0159,0.0652
613.3,0.0103,0.0190,0.0228,0.1809,0.0157,0.0639
612.4,0.0102,0.0189,0.0225,0.1786,0.0154,0.0628
611.6,0.0100,0.0188,0.0222,0.1760,0.0151,0.0617
610.7,0.0099,0.0186,0.0217,0.1737,0.0146,0.0605
609.9,0.0098,0.0184,0.0213,0.1712,0.0145,0.0589
609.0,0.0096,0.0183,0.0208,0.1682,0.0141,0.0575
608.2,0.0094,0.0183,0.0205,0.1656,0.0141,0.0558
607.3,0.0094,0.0181,0.0200,0.1634,0.0139,0.0545
606.5,0.0092,0.0178,0.0199,0.1611,0.0138,0.0534
605.6,0.0090,0.0176,0.0200,0.1589,0.0137,0.0521
604.7,0.0089,0.0174,0.0200,0.1563,0.0136,0.0510
603.9,0.0088,0.0173,0.0202,0.1539,0.0135,0.0501
603.0,0.0089,0.0170,0.0204,0.1519,0.0135,0.0494
602.2,0.0087,0.0169,0.0206,0.1498,0.0133,0.0489
601.3,0.0087,0.0168,0.0209,0.1478,0.0134,0.0482
600.5,0.0089,0.0169,0.0212,0.1458,0.0134,0.0476
599.6,0.0089,0.0168,0.0214,0.1439,0.0134,0.0473
598.8,0.0089,0.0166,0.0215,0.1423,0.0135,0.0468
597.9,0.0092,0.0165,0.0217,0.1408,0.0135,0.0466
597.1,0.0092,0.0165,0.0220,0.1394,0.0135,0.0464
596.2,0.0094,0.0164,0.0222,0.1380,0.0136,0.0461
595.4,0.0094,0.0162,0.0225,0.1361,0.0136,0.0460
594.5,0.0093,0.0160,0.0231,0.1344,0.0138,0.0460
593.7,0.0093,0.0157,0.0232,0.1325,0.0140,0.0459
592.8,0.0095,0.0154,0.0234,0.1307,0.0141,0.0459
591.9,0.0092,0.0153,0.0237,0.1291,0.0143,0.0457
591.1,0.0091,0.0150,0.0241,0.1275,0.0145,0.0457
590.2,0.0091,0.0147,0.0244,0.1254,0.0146,0.0457
589.4,0.0092,0.0146,0.0247,0.1241,0.0147,0.0456
588.5,0.0096,0.0141,0.0246,0.1227,0.0147,0.0456
587.7,0.0097,0.0138,0.0248,0.1215,0.0147,0.0454
586.8,0.0097,0.0138,0.0249,0.1200,0.0148,0.0452
586.0,0.0101,0.0135,0.0250,0.1183,0.0147,0.0450
585.1,0.0102,0.0131,0.0244,0.1168,0.0146,0.0447
584.3,0.0105,0.0127,0.0243,0.1157,0.0147,0.0443
