,T.oceanica,Tetraselmis sp.,H.niei ,Synechococcus sp.,D.brightwelli,N.oculata
,,,,,,
,CS-67,CS-87,CS-89,CS-94,CS-131,CS-189
,Bacillariophyceae ,Prasinophyceae,Dinophyceae ,Cyanophyceae,Bacillariophyceae ,Eustigmataceae
,2.67,4.01,5.47,6.27,4.04,6.46
Wavelength (nm),,,,,,
,,,,,,
479.3,0.0300,0.0449,0.1250,0.1839,0.0372,0.1798
478.5,0.0299,0.0450,0.1261,0.1842,0.0375,0.1793
477.6,0.0299,0.0451,0.1274,0.1843,0.0378,0.1783
476.7,0.0301,0.0450,0.1282,0.1850,0.0380,0.1771
475.9,0.0304,0.0446,0.1296,0.1857,0.0382,0.1762
475.0,0.0304,0.0450,0.1303,0.1862,0.0385,0.1754
474.2,0.0307,0.0447,0.1318,0.1866,0.0389,0.1746
473.3,0.0311,0.0449,0.1327,0.1877,0.0392,0.1745
472.5,0.0313,0.0448,0.1334,0.1883,0.0396,0.1744
471.6,0.0316,0.0448,0.1341,0.1892,0.0399,0.1745
470.8,0.0317,0.0444,0.1351,0.1898,0.0405,0.1751
469.9,0.0317,0.0442,0.1355,0.1906,0.0405,0.1761
469.1,0.0323,0.0439,0.1358,0.1918,0.0409,0.1773
468.2,0.0328,0.0436,0.1363,0.1932,0.0412,0.1785
467.4,0.0329,0.0435,0.1365,0.1943,0.0417,0.1797
466.5,0.0334,0.0432,0.1362,0.1960,0.0419,0.1811
465.7,0.0337,0.0430,0.1365,0.1970,0.0421,0.1830
464.8,0.0342,0.0428,0.1364,0.1986,0.0419,0.1845
463.9,0.0348,0.0428,0.1360,0.1999,0.0422,0.1858
463.1,0.0350,0.0426,0.1362,0.2016,0.0423,0.1877
462.2,0.0350,0.0422,0.1359,0.2031,0.0424,0.1895
461.4,0.0352,0.0423,0.1359,0.2049,0.0425,0.1914
460.5,0.0353,0.0420,0.1361,0.2064,0.0429,0.1934
459.7,0.0353,0.0419,0.1356,0.2091,0.0432,0.1956
458.8,0.0353,0.0420,0.1356,0.2111,0.0436,0.1978
458.0,0.0353,0.0419,0.1356,0.2141,0.0439,0.2003
457.1,0.0353,0.0418,0.1357,0.2167,0.0441,0.2028
456.3,0.0353,0.0418,0.1350,0.2200,0.0442,0.2056
455.4,0.0354,0.0411,0.1348,0.2237,0.0443,0.2090
454.6,0.0358,0.0412,0.1345,0.2281,0.0441,0.2124
453.7,0.0362,0.0413,0.1341,0.2325,0.0442,0.2155
452.9,0.0366,0.0417,0.1334,0.2386,0.0442,0.2199
452.0,0.0369,0.0421,0.1329,0.2439,0.0442,0.2245
451.1,0.0376,0.0422,0.1324,0.2499,0.0442,0.2286
450.3,0.0381,0.0422,0.1330,0.2568,0.0444,0.2335
449.4,0.0382,0.0425,0.1329,0.2643,0.0446,0.2385
448.6,0.0382,0.0429,0.1333,0.2723,0.0449,0.2443
447.7,0.0385,0.0429,0.1337,0.2806,0.0450,0.2506
446.9,0.0389,0.0426,0.1343,0.2890,0.0451,0.2560
446.0,0.0388,0.0430,0.1349,0.2979,0.0455,0.2621
445.2,0.0387,0.0432,0.1356,0.3064,0.0458,0.2682
444.3,0.0388,0.0436,0.1359,0.3142,0.0461,0.2737
443.5,0.0393,0.0441,0.1360,0.3207,0.0465,0.2790
442.6,0.0397,0.0440,0.1365,0.3269,0.0468,0.2834
441.8,0.0399,0.0443,0.1367,0.3315,0.0468,0.2876
440.9,0.0399,0.0444,0.1372,0.3353,0.0473,0.2911
440.1,0.0402,0.0442,0.1372,0.3376,0.0475,0.2934
439.2,0.0403,0.0444,0.1370,0.3391,0.0474,0.2955
438.3,0.0405,0.0445,0.1366,0.3394,0.0475,0.2972
437.5,0.0404,0.0445,0.1370,0.3393,0.0473,0.2981
436.6,0.0402,0.0447,0.1366,0.3381,0.0475,0.2986
435.8,0.0400,0.0448,0.1359,0.3363,0.0476,0.2982
434.9,0.0397,0.0449,0.1349,0.3334,0.0474,0.2977
434.1,0.0399,0.0446,0.1341,0.3304,0.0473,0.2975
433.2,0.0397,0.0444,0.1334,0.3266,0.0477,0.2965
432.4,0.0397,0.0441,0.1320,0.3228,0.0476,0.2950
431.5,0.0397,0.0438,0.1305,0.3195,0.0477,0.2937
430.7,0.0397,0.0434,0.1294,0.3149,0.0477,0.2917
429.8,0.0399,0.0429,0.1280,0.3109,0.0480,0.2898
429.0,0.0400,0.0425,0.1267,0.3072,0.0479,0.2882
428.1,0.0393,0.0422,0.1258,0.3044,0.0480,0.2862
427.3,0.0391,0.0416,0.1243,0.3016,0.0479,0.2846
426.4,0.0389,0.0411,0.1238,0.2987,0.0476,0.2831
425.5,0.0387,0.0405,0.1225,0.2958,0.0477,0.2814
424.7,0.0384,0.0399,0.1220,0.2943,0.0474,0.2802
423.8,0.0379,0.0399,0.1217,0.2927,0.0474,0.2790
423.0,0.0375,0.0393,0.1214,0.2910,0.0474,0.2778
422.1,0.0378,0.0393,0.1210,0.2887,0.0472,0.2765
421.3,0.0382,0.0389,0.1205,0.2866,0.0469,0.2749
420.4,0.0382,0.0387,0.1196,0.2851,0.0472,0.2740
419.6,0.0383,0.0389,0.1197,0.2832,0.0471,0.2730
418.7,0.0384,0.0388,0.1186,0.2805,0.0472,0.2718
417.9,0.0384,0.0382,0.1176,0.2778,0.0467,0.2707
417.0,0.0386,0.0380,0.1168,0.2753,0.0467,0.2696
416.2,0.0386,0.0373,0.1162,0.2725,0.0466,0.2679
415.3,0.0378,0.0376,0.1156,0.2703,0.0467,0.2668
414.5,0.0376,0.0374,0.1155,0.2668,0.0463,0.2642
413.6,0.0373,0.0368,0.1145,0.2630,0.0461,0.2618
412.7,0.0370,0.0365,0.1140,0.2596,0.0463,0.2595
411.9,0.0370,0.0361,0.1132,0.2561,0.0463,0.2562
411.0,0.0367,0.0356,0.1124,0.2518,0.0460,0.2529
410.2,0.0365,0.0352,0.1107,0.2478,0.0457,0.2501
409.3,0.0364,0.0343,0.1096,0.2432,0.0456,0.2464
408.5,0.0356,0.0334,0.1079,0.2388,0.0453,0.2431
407.6,0.0354,0.0327,0.1063,0.2339,0.0448,0.2398
406.8,0.0356,0.0322,0.1046,0.2288,0.0439,0.2360
405.9,0.0349,0.0313,0.1030,0.2243,0.0437,0.2335
405.1,0.0346,0.0305,0.1012,0.2204,0.0435,0.2302
404.2,0.0343,0.0300,0.1000,0.2161,0.0432,0.2272
403.4,0.0341,0.0291,0.0985,0.2124,0.0425,0.2244
402.5,0.0347,0.0284,0.0969,0.2091,0.0422,0.2221
401.7,0.0344,0.0281,0.0961,0.2064,0.0420,0.2196
400.8,0.0337,0.0275,0.0948,0.2034,0.0420,0.2174
399.9,0.0334,0.0275,0.0945,0.2014,0.0418,0.2147
399.1,0.0334,0.0272,0.0935,0.1987,0.0416,0.2126
398.2,0.0330,0.0266,0.0928,0.1971,0.0413,0.2106
397.4,0.0331,0.0261,0.0923,0.1948,0.0411,0.2090
396.5,0.0326,0.0257,0.0915,0.1926,0.0412,0.2073
395.7,0.0325,0.0249,0.0900,0.1912,0.0414,0.2065
394.8,0.0324,0.0243,0.0895,0.1903,0.0414,0.2050
394.0,0.0324,0.0236,0.0887,0.1882,0.0416,0.2042
393.1,0.0319,0.0237,0.0881,0.1865,0.0419,0.2039
392.3,0.0319,0.0234,0.0873,0.1854,0.0422,0.2027
391.4,0.0311,0.0236,0.0862,0.1853,0.0421,0.2015
390.6,0.0307,0.0233,0.0863,0.1848,0.0417,0.2009
389.7,0.0300,0.0236,0.0857,0.1837,0.0412,0.1995
388.9,0.0298,0.0234,0.0846,0.1833,0.0405,0.1993
388.0,0.0298,0.0233,0.0838,0.1819,0.0401,0.1984
387.1,0.0303,0.0232,0.0829,0.1824,0.0394,0.1962
386.3,0.0297,0.0231,0.0820,0.1814,0.0389,0.1958
385.4,0.0298,0.0230,0.0814,0.1809,0.0389,0.1951
384.6,0.0297,0.0229,0.0797,0.1801,0.0386,0.1931
383.7,0.0303,0.0225,0.0795,0.1793,0.0381,0.1915
382.9,0.0304,0.0222,0.0794,0.1782,0.0381,0.1898
382.0,0.0301,0.0224,0.0785,0.1778,0.0381,0.1881
381.2,0.0304,0.0220,0.0781,0.1765,0.0382,0.1872
380.3,0.0303,0.0213,0.0775,0.1747,0.0379,0.1851
379.5,0.0306,0.0207,0.0770,0.1724,0.0376,0.1830
378.6,0.0306,0.0207,0.0769,0.1713,0.0375,0.1814
377.8,0.0301,0.0201,0.0764,0.1692,0.0382,0.1794
376.9,0.0297,0.0195,0.0757,0.1669,0.0380,0.1773
376.1,0.0293,0.0180,0.0746,0.1653,0.0380,0.1743
375.2,0.0281,0.0177,0.0727,0.1625,0.0374,0.1724
374.3,0.0282,0.0180,0.0731,0.1609,0.0375,0.1699
373.5,0.0279,0.0177,0.0720,0.1593,0.0377,0.1672
372.6,0.0274,0.0175,0.0706,0.1574,0.0370,0.1647
371.8,0.0269,0.0179,0.0703,0.1562,0.0374,0.1630
370.9,0.0271,0.0173,0.0691,0.1551,0.0375,0.1605
370.1,0.0282,0.0170,0.0681,0.1541,0.0372,0.1580
369.2,0.0287,0.0162,0.0684,0.1529,0.0375,0.1558
368.4,0.0286,0.0149,0.0680,0.1500,0.0376,0.1534
367.5,0.0289,0.0143,0.0683,0.1485,0.0366,0.1517
366.7,0.0285,0.0131,0.0685,0.1459,0.0373,0.1500
365.8,0.0289,0.0124,0.0678,0.1428,0.0359,0.1473
365.0,0.0284,0.0134,0.0684,0.1400,0.0362,0.1450
364.1,0.0270,0.0137,0.0701,0.1372,0.0360,0.1446
363.3,0.0275,0.0124,0.0710,0.1370,0.0354,0.1425
362.4,0.0277,0.0132,0.0723,0.1385,0.0357,0.1411
361.5,0.0266,0.0126,0.0741,0.1358,0.0358,0.1405
360.7,0.0271,0.0128,0.0767,0.1350,0.0356,0.1389
359.8,0.0262,0.0120,0.0791,0.1342,0.0356,0.1374
359.0,0.0265,0.0113,0.0832,0.1344,0.0353,0.1360
358.1,0.0264,0.0106,0.0858,0.1338,0.0348,0.1343
357.3,0.0253,0.0107,0.0915,0.1319,0.0340,0.1334
356.4,0.0239,0.0100,0.0987,0.1297,0.0326,0.1340
355.6,0.0246,0.0091,0.1055,0.1298,0.0330,0.1317
354.7,0.0242,0.0093,0.1125,0.1299,0.0323,0.1302
353.9,0.0252,0.0102,0.1237,0.1309,0.0326,0.1293
353.0,0.0245,0.0087,0.1376,0.1309,0.0317,0.1293
352.2,0.0253,0.0086,0.1562,0.1313,0.0317,0.1297
351.3,0.0252,0.0091,0.1635,0.1312,0.0321,0.1291
350.5,0.0261,0.0089,0.1691,0.1312,0.0323,0.1267
349.6,0.0257,0.0098,0.1783,0.1319,0.0312,0.1267
