PDatTime,Age,_BatchAge,_BatchAlarmCount,_BatchSync,ACID_T,AFOAM_T,Air_OV,Air_SP,BASE_T,CO2_SP,CO2_SP_T,EXT_1,EXT_2,FEED_WEIGHT,JTEMP,N2_SP,O2_SP,pH,PO2,STIRR,SUBS_A,SUBSA_T,TEMP,VWEIGHT,FEED_FLOW
,,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
,(h),(hours),(-),,(ml),(ml),,(lpm),(ml),(%),(l),(%),(%),(g),(C),(lpm),(lpm),(pH),(%),(RPM),(%),(ml),(C),(kg),(g/h)
1/22/20 14:34,0,0,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0,14.43,0,0,5.779,-2.65,400,0,3744.6,16.005,0.6208,0
1/22/20 14:39,8.33E-02,4.17E-02,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0,16.080625,0,0,5.761,-2.65,400,0,3744.6,15.9525,0.6208,0
1/22/20 14:44,0.166666666666667,0.125,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0,16.455,0,0,5.6995,-2.65,174.5,0,3744.6,15.9,0.6208,0
1/22/20 14:49,0.25,0.208333333333333,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0,16.305,0,0,5.625,-2.65,100,0,3744.6,15.9,0.624,0
1/22/20 14:54,0.333333333333333,0.291666666666667,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0,16.35,0,0,5.582,-2.65,100,0,3744.6,15.9,0.6272,0
1/22/20 14:59,0.416666666666667,0.375,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0.35,16.245,0,0,5.574,-2.65,100,0,3744.6,15.9525,0.6272,0
1/22/20 15:04,0.5,0.458333333333333,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0.35,16.35,0,0,5.575,-2.65,100,0,3744.6,16.005,0.6272,0
1/22/20 15:09,0.583333333333333,0.541666666666667,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0.35,16.4025,0,0,5.5785,-2.65,100,0,3744.6,16.005,0.6272,0
1/22/20 15:14,0.666666666666667,0.625,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0.7,16.4475,0,0,5.597,-2.65,100,0,3744.6,16.005,0.6272,0
1/22/20 15:19,0.75,0.708333333333333,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0.7,16.395,0,0,5.6005,-2.65,100,0,3744.6,16.005,0.6272,0
1/22/20 15:24,0.833333333333333,0.791666666666667,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0.35,16.395,0,0,5.605,-2.65,100,0,3744.6,16.005,0.6272,0
1/22/20 15:29,0.916666666666667,0.875,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0,16.395,0,0,5.6275,-2.65,100,0,3744.6,16.005,0.6272,0
1/22/20 15:34,1,0.958333333333333,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0,16.35,0,0,5.635,-2.65,100,0,3744.6,16.005,0.6272,0
1/22/20 15:39,1.08333333333333,1.04166666666667,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0,16.35,0,0,5.6385,-2.65,100,0,3744.6,16.005,0.6272,0
1/22/20 15:44,1.16666666666667,1.125,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0.35,16.395,0,0,5.65,-2.65,100,0,3744.6,16.005,0.6304,0
1/22/20 15:49,1.25,1.20833333333333,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0.7,16.395,0,0,5.664,-2.65,100,0,3744.6,16.005,0.6336,0
1/22/20 15:54,1.33333333333333,1.29166666666667,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0.7,16.395,0,0,5.6875,-2.65,100,0,3744.6,16.005,0.6336,0
1/22/20 15:59,1.41666666666667,1.375,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0.7,16.395,0,0,5.716,-2.65,100,0,3744.6,16.005,0.6336,0
1/22/20 16:04,1.5,1.45833333333333,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0.7,16.395,0,0,5.7385,-2.65,100,0,3744.6,16.005,0.6336,0
1/22/20 16:09,1.58333333333333,1.54166666666667,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0.7,16.395,0,0,5.7605,-2.65,100,0,3744.6,16.005,0.6336,0
1/22/20 16:14,1.66666666666667,1.625,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0.7,16.395,0,0,5.7825,-2.65,100,0,3744.6,16.005,0.6336,0
1/22/20 16:19,1.75,1.70833333333333,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0.7,16.4475,0,0,5.8,-2.65,100,0,3744.6,16.005,0.6336,0
1/22/20 16:24,1.83333333333333,1.79166666666667,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0.7,16.4475,0,0,5.8165,-2.65,100,0,3744.6,16.005,0.6336,0
1/22/20 16:29,1.91666666666667,1.875,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0.7,16.395,0,0,5.8085,-2.65,100,0,3744.6,16.005,0.6336,0
1/22/20 16:34,2,1.95833333333333,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0.7,16.35,0,0,5.794,-2.65,100,0,3744.6,16.005,0.6336,0
1/22/20 16:39,2.08333333333333,2.04166666666667,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0.7,16.35,0,0,5.795,-2.65,100,0,3744.6,16.005,0.6336,0
1/22/20 16:44,2.16666666666667,2.125,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0.7,16.3575,0,0,5.799,-2.65,100,0,3744.6,16.005,0.6336,0
1/22/20 16:49,2.25,2.20833333333333,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0.7,16.3125,0,0,5.8025,-2.65,100,0,3744.6,16.005,0.6336,0
1/22/20 16:54,2.33333333333333,2.29166666666667,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0.7,16.35,0,0,5.822,-2.65,100,0,3744.6,16.005,0.6336,0
1/22/20 16:59,2.41666666666667,2.375,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0.7,16.395,0,0,5.8375,-2.65,100,0,3744.6,16.005,0.6336,0
1/22/20 17:04,2.5,2.45833333333333,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0.7,16.395,0,0,5.8335,-2.65,100,0,3744.6,16.005,0.6336,0
1/22/20 17:09,2.58333333333333,2.54166666666667,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0.7,16.395,0,0,5.8495,-2.65,100,0,3744.6,16.005,0.6336,0
1/22/20 17:14,2.66666666666667,2.625,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0.7,16.395,0,0,5.8655,-2.65,100,0,3744.6,16.005,0.6336,0
1/22/20 17:19,2.75,2.70833333333333,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0.7,16.395,0,0,5.8745,-2.65,100,0,3744.6,16.005,0.6336,0
1/22/20 17:24,2.83333333333333,2.79166666666667,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0.7,16.395,0,0,5.8965,-2.65,100,0,3744.6,16.005,0.6336,0
1/22/20 17:29,2.91666666666667,2.875,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0.7,16.395,0,0,5.9175,-2.65,100,0,3744.6,16.005,0.6336,0
1/22/20 17:34,3,2.95833333333333,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0.7,16.4475,0,0,5.9175,-2.65,100,0,3744.6,16.005,0.6336,0
1/22/20 17:39,3.08333333333333,3.04166666666667,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0.7,16.4475,0,0,5.9155,-2.65,100,0,3744.6,16.005,0.6336,0
1/22/20 17:44,3.16666666666667,3.125,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0.7,16.395,0,0,5.923,-2.65,100,0,3744.6,16.005,0.6336,0
1/22/20 17:49,3.25,3.20833333333333,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0.7,16.395,0,0,5.9315,-2.65,100,0,3744.6,16.005,0.6336,0
1/22/20 17:54,3.33333333333333,3.29166666666667,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0.7,16.395,0,0,5.9455,-2.65,100,0,3744.6,16.005,0.6336,0
1/22/20 17:59,3.41666666666667,3.375,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0.7,16.35,0,0,5.9585,-2.65,100,0,3744.6,16.005,0.6336,0
1/22/20 18:04,3.5,3.45833333333333,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0.7,16.35,0,0,5.9675,-2.65,100,0,3744.6,16.005,0.6336,0
1/22/20 18:09,3.58333333333333,3.54166666666667,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0.7,16.4475,0,0,5.9735,-2.65,100,0,3744.6,16.005,0.6368,0
1/22/20 18:14,3.66666666666667,3.625,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0.7,16.4475,0,0,5.977,-2.65,100,0,3744.6,16.005,0.64,0
1/22/20 18:19,3.75,3.70833333333333,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0.7,16.41,0,0,5.998,-2.65,100,0,3744.6,16.005,0.64,0
1/22/20 18:24,3.83333333333333,3.79166666666667,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0.7,16.4625,0,0,6.016,-2.65,100,0,3744.6,16.005,0.64,0
1/22/20 18:29,3.91666666666667,3.875,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0.7,16.4475,0,0,6.0255,-2.65,100,0,3744.6,16.005,0.64,0
1/22/20 18:34,4,3.95833333333333,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0.7,16.4475,0,0,6.035,-2.65,100,0,3744.6,16.005,0.64,0
1/22/20 18:39,4.08333333333333,4.04166666666667,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0.7,16.4475,0,0,6.029,-2.65,100,0,3744.6,16.005,0.64,0
1/22/20 18:44,4.16666666666667,4.125,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0.7,16.4475,0,0,6.0215,-2.65,100,0,3744.6,16.005,0.64,0
1/22/20 18:49,4.25,4.20833333333333,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0.7,16.5,0,0,6.019,-2.65,100,0,3744.6,16.005,0.64,0
1/22/20 18:54,4.33333333333333,4.29166666666667,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0.7,16.5,0,0,6.018,-2.65,100,0,3744.6,16.005,0.64,0
1/22/20 18:59,4.41666666666667,4.375,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0.7,16.5,0,0,6.0215,-2.65,100,0,3744.6,16.005,0.64,0
1/22/20 19:04,4.5,4.45833333333333,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0.35,16.5,0,0,6.033,-2.65,100,0,3744.6,16.005,0.64,0
1/22/20 19:09,4.58333333333333,4.54166666666667,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0.35,16.4475,0,0,6.044,-2.65,100,0,3744.6,16.005,0.64,0
1/22/20 19:14,4.66666666666667,4.625,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0.7,16.395,0,0,6.05,-2.65,100,0,3744.6,16.005,0.64,0
1/22/20 19:19,4.75,4.70833333333333,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0.7,16.4475,0,0,6.0565,-2.65,100,0,3744.6,16.005,0.64,0
1/22/20 19:24,4.83333333333333,4.79166666666667,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0.35,16.4475,0,0,6.054,-2.65,100,0,3744.6,16.005,0.64,0
1/22/20 19:29,4.91666666666667,4.875,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0,16.395,0,0,6.0445,-2.65,100,0,3744.6,16.005,0.64,0
1/22/20 19:34,5,4.95833333333333,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0.35,16.395,0,0,6.04,-2.65,100,0,3744.6,16.005,0.64,0
1/22/20 19:39,5.08333333333333,5.04166666666667,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0.7,16.4475,0,0,6.0395,-2.65,100,0,3744.6,16.005,0.64,0
1/22/20 19:44,5.16666666666667,5.125,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0.35,16.5,0,0,6.044,-2.65,100,0,3744.6,16.005,0.64,0
1/22/20 19:49,5.25,5.20833333333333,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0,16.5,0,0,6.0495,-2.65,100,0,3744.6,16.005,0.64,0
1/22/20 19:54,5.33333333333333,5.29166666666667,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0,16.485,0,0,6.0535,-2.65,100,0,3744.6,16.005,0.64,0
1/22/20 19:59,5.41666666666667,5.375,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0,16.485,0,0,6.0535,-2.65,100,0,3744.6,16.005,0.64,0
1/22/20 20:04,5.5,5.45833333333333,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0,16.4475,0,0,6.0545,-2.65,100,0,3744.6,16.005,0.64,0
1/22/20 20:09,5.58333333333333,5.54166666666667,0,0,4662.7,20.35,0,0,1.1,0,1828,0,0,0,16.4475,0,0,6.059,-2.65,100,0,3744.6,16.005,0.64,0
